,artistId,name,relatedArtists,followers,popularity,genres
27,0EffwahbVorwsGoVtfovXM,Hengameh,"['3Tf5EjUPHi04W0filXAkrG', '5coMLgB6HtAg6rf9QVPLPa', '2Y2gsVQ9NzlSlQdCgnQ6ug', '5akOgE7THgqgmt4fAxQkre', '59N9f8b5zCYSCyov5lxBhm']",3208,27,"['classic persian pop', 'persian pop']"
28,3Tf5EjUPHi04W0filXAkrG,Nooshafarin,"['0EffwahbVorwsGoVtfovXM', '5akOgE7THgqgmt4fAxQkre', '5coMLgB6HtAg6rf9QVPLPa', '69bVyzCRQweGwImywypLRD', '59N9f8b5zCYSCyov5lxBhm']",1644,20,['classic persian pop']
29,59N9f8b5zCYSCyov5lxBhm,Homeyra,"['3Tf5EjUPHi04W0filXAkrG', '0EffwahbVorwsGoVtfovXM', '69bVyzCRQweGwImywypLRD', '2Y2gsVQ9NzlSlQdCgnQ6ug', '5akOgE7THgqgmt4fAxQkre']",4317,22,['classic persian pop']
30,0LkkLM2M97UEG7hi5mLn3u,Sasy,"['0RijxlHRlHCt8hYWPclQRJ', '3ik1ITmfyz6tnIgodqEHlz', '7pBXdJN9S9N9nNifjPixET', '3lDvSMuYmhBK4KhJ9Bryak', '3pox3Tg5r65OlxX2zuNfRe']",5334,34,['persian pop']
31,5akOgE7THgqgmt4fAxQkre,Faramarz Assef,"['3Tf5EjUPHi04W0filXAkrG', '69bVyzCRQweGwImywypLRD', '0EffwahbVorwsGoVtfovXM', '5coMLgB6HtAg6rf9QVPLPa', '2Y2gsVQ9NzlSlQdCgnQ6ug']",1515,23,['classic persian pop']
32,5soNWYxH02JzesP081GwEl,Macan Band,"['2uae2HQyeF6uSsV7u1cUF2', '67kWRUuakWQ7zpgUCLWMCH', '3ik1ITmfyz6tnIgodqEHlz', '7gZ2ehh4RMlxJia3aVmoLM', '10q6ToQDyMq4fIckvuwXEO']",5238,33,['persian pop']
33,7mTfF5lvdMyiWciH81cNBq,O-Hum,"['4eVyI1yiHoRjVrxt5y7gGL', '6V6v6VpsjWE28oeoAnqPhg', '1ft8rFTxoZ1c41DCR1tr1T', '42o3S5oDd4Q4YyMNRmN5oS', '4besYDIj6c0kONEoL2fFqP']",2721,13,['persian alternative']
34,1HxhTTLPJlj5uiYSdjVgGU,Alishmas,"['05xOq3llEmAYBHDUsgHpi2', '4s7Z3TRfMsMcMwBbE6iSBV', '0DymMFBnzHFnWU0kosXtsQ', '0iMvs2xig8hcY8LdFCSHKZ', '0mHI0Oi13X1Qi5ubUxYeUe']",4202,33,['persian pop']
35,0mHI0Oi13X1Qi5ubUxYeUe,Armin 2AFM,"['2ZC6H1OYbKsTwyWP2oipVD', '7kyv6pxakvg25qRWqq9vj7', '0LkkLM2M97UEG7hi5mLn3u', '1HxhTTLPJlj5uiYSdjVgGU', '0iMvs2xig8hcY8LdFCSHKZ']",4632,21,"['persian hip hop', 'persian pop']"
36,0iMvs2xig8hcY8LdFCSHKZ,Babak Jahanbakhsh,"['72482nIO3fujPgLNJQWuCy', '21bYSNzWliPW8JOHPMzx7X', '1tOtb40DeTYQJZPe11zSVx', '0T1TzS3WjueMtv79puFaqr', '5ImecuuoVCZHfMq7Ohe3pY']",6096,32,['persian pop']
37,0T1TzS3WjueMtv79puFaqr,Behnam Safavi,"['1tOtb40DeTYQJZPe11zSVx', '00J3XSB6tD4SGSFflGseDx', '6CwqlS95wmmB4ZWgCtdzUi', '0iMvs2xig8hcY8LdFCSHKZ', '72482nIO3fujPgLNJQWuCy']",2564,24,['classic persian pop']
